"","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","flags"
"1","Burundi",166.47,172.38,178.8,162.36,171.21,178.49,179.7,175.74,176.42,175.05,169.41,163.88,153.23,142.41,122.4,100.1,87.78,81.18,76.59,76.95,68.12,63.95,50.83,45.86,43.03,46.62,58.41,60.54,50.2,48.47,"https://public.flourish.studio/country-flags/svg/bi.svg"
"2","Democratic Republic of Congo",121.98,122.35,121.81,120.83,120.2,120.28,119.24,117.07,115.59,114.81,114.26,115,113.32,116.14,115.67,114.32,112.38,111.55,105.99,100.25,92.9,85.48,76.65,68.77,63.04,60.15,61.29,60.81,54.41,53.84,"https://public.flourish.studio/country-flags/svg/cd.svg"
"3","Kenya",39.54,41.87,42.98,43.76,44.56,46.02,47.29,47.88,48.77,49.48,40.32,46.51,42.19,45.03,40.81,33.03,25.94,22.16,18.24,14.24,8.13,4.32,3.8,6.9,9.33,10.71,13.98,16.63,18.05,18,"https://public.flourish.studio/country-flags/svg/ke.svg"
"4","Rwanda",133.77,136.94,157.76,205.78,145.37,140.99,131.12,142.42,144.06,137.26,124.15,119.06,93.27,71.55,47.62,29.69,21.83,22.19,28.47,35.02,38.61,35.66,29.3,22.9,23.33,25.79,33.84,36.62,28.89,28.34,"https://public.flourish.studio/country-flags/svg/rw.svg"
"5","South Sudan",62.91,63.39,63.77,64.55,65.64,68.82,70.48,71.27,72.96,74.22,74.67,76.75,71.68,71.18,68.88,66.91,62.67,58.79,52.73,47.61,43.08,40.16,39.94,41.86,42.34,45.81,48.1,47.92,44.75,44.68,"https://public.flourish.studio/country-flags/svg/ss.svg"
"6","Tanzania",85.65,84.64,82.37,81.29,81.39,81.79,83.38,85.98,87.85,87.81,85.25,84.97,76.84,67.18,55.25,48.77,39.37,30.67,27.59,30.95,32.55,27.83,22.98,22.04,22.9,24.24,24.65,24.37,24.6,24.6,"https://public.flourish.studio/country-flags/svg/tz.svg"
"7","Uganda",171.76,172.92,170.2,169.44,168.45,168.27,169.09,169.24,170.6,171.06,167.78,170.63,164.29,160.12,153.33,134.78,116.78,110.16,106.13,97.79,92.02,80.11,61.82,48.06,40.79,45.4,55.54,58.09,46.98,46.48,"https://public.flourish.studio/country-flags/svg/ug.svg"
