"","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","flags"
"1","Burundi",14171,14286,14317,13360,14182,14260,13976,13688,13812,13788,13618,13354,13198,12672,11364,9746,8990,8609,8532,8894,8202,7982,6607,6166,5807,6349,7893,8351,7313,7280,"https://public.flourish.studio/country-flags/svg/bi.svg"
"2","Democratic Republic of Congo",81904,83868,85326,86270,87544,89062,89413,89526,89930,90489,92188,94138,94759,98394,99859,100895,101770,102544,100992,97277,91494,85596,78228,71343,66547,64193,64761,63941,57808,57160,"https://public.flourish.studio/country-flags/svg/cd.svg"
"3","Kenya",12116,12767,13125,13369,13618,14104,14567,14839,15181,15505,13199,15079,14333,15474,14313,11866,9688,8480,7374,5962,3585,1961,1719,3077,4103,4772,6138,7358,7963,8049,"https://public.flourish.studio/country-flags/svg/ke.svg"
"4","Rwanda",11216,11550,12054,12809,8490,8780,9205,10799,11354,11246,10703,10430,8570,6695,4710,3046,2326,2377,3119,3813,4271,4003,3331,2594,2655,3012,3893,4225,3404,3386,"https://public.flourish.studio/country-flags/svg/rw.svg"
"5","South Sudan",4758,4845,4952,5088,5249,5598,5810,5955,6157,6320,6498,6698,6439,6392,6328,6400,6297,6037,5739,5351,4982,4784,4855,5074,4988,5171,5032,4983,4885,5109,"https://public.flourish.studio/country-flags/svg/ss.svg"
"6","Tanzania",32999,33093,32817,32948,33434,33958,35133,36785,38170,38995,39213,39868,38046,34476,29536,26847,22804,18263,16863,19367,20550,17850,15044,14613,15040,16496,16749,16630,16889,17014,"https://public.flourish.studio/country-flags/svg/tz.svg"
"7","Uganda",44242,45260,45783,46646,47282,48279,49681,51172,52982,54562,55586,57652,57993,57135,57092,51905,46798,44507,43621,40653,39357,35099,27954,22671,19575,22016,27037,27740,22762,22587,"https://public.flourish.studio/country-flags/svg/ug.svg"
