"","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","flags"
"1","Burundi",1108.19,1137.2,1159.64,1028.66,1052.47,1087.75,1070.18,1019.94,1004.5,987.27,955.29,921.26,902.01,843.09,733.38,610.64,543.97,495.25,458.81,456.58,414.85,393.27,314.87,287.39,266.58,283.25,334.37,334.66,287.14,277.82,"https://public.flourish.studio/country-flags/svg/bi.svg"
"2","Democratic Republic of Congo",988.13,984.54,976.01,961.82,952.82,943.35,919.37,899.05,878.25,856.53,848.04,840.83,820.72,824.55,811.52,795.14,777.16,758.53,729.18,681.28,621.48,566.05,506.42,452.44,416.48,393.63,386.51,372.47,334.23,323.4,"https://public.flourish.studio/country-flags/svg/cd.svg"
"3","Kenya",223.31,227.09,225.64,221.97,218.18,217.91,217.16,212.98,208.86,204.71,170.09,185.83,172.99,181.86,163.57,133.02,106.53,93.5,81.91,66.43,40.89,22.39,18.96,32.3,41.86,47.22,59.44,70.05,72.56,71.98,"https://public.flourish.studio/country-flags/svg/ke.svg"
"4","Rwanda",581.2,579.04,677.77,932.1,650.19,568.64,489.88,515.57,536.46,539.49,522.66,514.95,423.86,328.92,234.73,151.14,113.04,113.82,146.81,172.78,189.97,174.8,143.14,108.08,111.28,124.37,155.17,163.33,130.86,127.07,"https://public.flourish.studio/country-flags/svg/rw.svg"
"5","South Sudan",389.89,386.99,384.39,383.28,383.1,392.56,394.71,394.66,394.59,391.45,389.43,390.29,365.33,348.81,334.51,331.9,318.44,298.2,279.24,254.77,232,218.2,220.32,233.62,236.19,262.5,274.37,269.06,257.55,264.47,"https://public.flourish.studio/country-flags/svg/ss.svg"
"6","Tanzania",580.22,563.5,541.29,525.65,515.16,504.57,505.12,511.73,513.33,509.8,498.64,495.69,465.75,416.76,352.01,313.58,263.29,207.6,186.65,209.81,216.04,182.91,150.84,142.73,141.96,153.81,152.34,147.45,146.08,143.59,"https://public.flourish.studio/country-flags/svg/tz.svg"
"7","Uganda",1044.58,1022.68,996.81,974.89,946.53,927.8,917.37,912.56,910.55,906.54,892.82,898.92,881.7,843.7,827.32,738.52,652.14,604.86,576.72,524.12,501.58,441.2,348.44,282.1,241.25,264.79,319.95,316.16,253.8,245.22,"https://public.flourish.studio/country-flags/svg/ug.svg"
