"","country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","flags"
"1","Burundi",477.770751953125,468.937774658203,430.575805664062,383.650329589844,331.545501708984,292.635955810547,261.978881835938,223.522827148438,197.282485961914,174.827850341797,169.315200805664,164.904449462891,164.608627319336,170.304153442383,176.216979980469,194.272872924805,228.899459838867,250.057312011719,288.443115234375,297.135681152344,294.868682861328,"https://public.flourish.studio/country-flags/svg/bi.svg"
"2","Democratic Republic of Congo",469.523742675781,469.834136962891,470.338012695312,474.509307861328,481.241607666016,481.689056396484,473.9140625,464.055114746094,444.963439941406,413.967254638672,389.912719726562,365.719055175781,345.523956298828,326.492095947266,307.504669189453,295.763549804688,297.480529785156,308.210418701172,320.878875732422,320.674682617188,324.207427978516,"https://public.flourish.studio/country-flags/svg/cd.svg"
"3","Kenya",216.795532226562,241.661361694336,223.487609863281,209.224899291992,178.07682800293,136.533554077148,103.497680664062,79.708366394043,66.336799621582,62.7689208984375,64.0190582275391,65.8810577392578,68.7895660400391,71.3495483398438,70.7480773925781,68.7705230712891,65.9607620239258,62.5417594909668,59.7498474121094,56.4512825012207,50.9264831542969,"https://public.flourish.studio/country-flags/svg/ke.svg"
"4","Rwanda",250.038818359375,238.604080200195,190.429611206055,151.754547119141,129.912902832031,157.407501220703,154.461700439453,90.6384353637695,71.7789611816406,158.10041809082,107.553405761719,37.9479598999023,61.2707443237305,112.345069885254,207.433959960938,315.378845214844,418.879730224609,724.5673828125,498.672943115234,363.580078125,230.54345703125,"https://public.flourish.studio/country-flags/svg/rw.svg"
"5","South Sudan",367.164306640625,357.181396484375,336.607543945312,318.788330078125,306.663024902344,305.748413085938,305.231658935547,299.469970703125,293.152557373047,286.080322265625,285.696441650391,290.857971191406,287.80029296875,285.738342285156,276.305419921875,271.000640869141,266.5478515625,277.78369140625,278.790649414062,281.258911132812,286.886627197266,"https://public.flourish.studio/country-flags/svg/ss.svg"
"6","Tanzania",339.933502197266,328.419097900391,302.445983886719,283.714691162109,267.095825195312,248.378387451172,226.712936401367,198.626190185547,171.065994262695,151.103897094727,137.373153686523,127.433784484863,124.63892364502,134.518524169922,144.908920288086,140.304306030273,131.282608032227,123.570739746094,114.924995422363,111.840026855469,120.173324584961,"https://public.flourish.studio/country-flags/svg/tz.svg"
"7","Uganda",487.225524902344,507.974395751953,500.152557373047,484.124694824219,449.824676513672,433.645294189453,421.310394287109,415.413543701172,417.960693359375,423.051330566406,409.436645507812,394.679718017578,376.555969238281,332.344421386719,294.282379150391,253.514785766602,283.137145996094,294.903259277344,262.691589355469,262.691558837891,283.817535400391,"https://public.flourish.studio/country-flags/svg/ug.svg"
