"","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","flags"
"1","Burundi",30.6,30.72,30.85,30.99,31.13,31.27,31.45,31.66,31.87,32.01,32.04,30.4,26.49,21.69,17.38,14.97,14.12,13.49,12.98,12.51,11.98,11.25,10.37,9.53,8.9,8.66,13.28,20.66,26.35,32.1,"https://public.flourish.studio/country-flags/svg/bi.svg"
"2","Democratic Republic of Congo",37.02,37.08,37.15,37.21,37.28,37.35,37.36,37.31,37.26,37.25,37.36,38.19,39.88,41.84,43.45,44.12,43.53,42.02,39.92,37.54,35.22,32.32,28.54,24.75,21.81,20.59,21.96,23.51,23.62,23.1,"https://public.flourish.studio/country-flags/svg/cd.svg"
"3","Kenya",12.53,12.79,13.02,13.22,13.38,13.49,13.57,13.64,13.68,13.68,13.63,13.07,11.83,10.29,8.8,7.75,6.94,6.02,5.14,4.45,4.08,3.87,3.63,3.41,3.28,3.31,4.13,5.22,5.9,6.47,"https://public.flourish.studio/country-flags/svg/ke.svg"
"4","Rwanda",10.94,10.96,10.99,11.01,11.04,11.07,11.11,11.17,11.23,11.26,11.24,10.27,8.02,5.34,3.09,2.15,2.24,2.46,2.72,2.95,3.04,2.94,2.69,2.4,2.15,2.05,3.66,6.41,8.99,12,"https://public.flourish.studio/country-flags/svg/rw.svg"
"5","South Sudan",21.53,21.59,21.68,21.8,21.94,22.09,22.31,22.64,22.98,23.25,23.37,23.34,23.22,23.05,22.83,22.59,22.15,21.37,20.39,19.35,18.39,17.32,16.03,14.77,13.81,13.4,13.61,14.03,14.53,15.18,"https://public.flourish.studio/country-flags/svg/ss.svg"
"6","Tanzania",21.51,21.54,21.59,21.66,21.74,21.83,21.98,22.22,22.46,22.62,22.63,22.04,20.69,18.9,17.01,15.36,13.75,11.93,10.15,8.64,7.66,7.04,6.47,6,5.69,5.57,5.82,6.09,6.12,6.12,"https://public.flourish.studio/country-flags/svg/tz.svg"
"7","Uganda",36.52,36.58,36.65,36.71,36.78,36.85,36.93,37.02,37.1,37.15,37.14,36.48,34.98,33.18,31.61,30.84,30.79,30.95,31.17,31.32,31.25,29.26,24.83,19.61,15.24,13.41,19.73,27.63,30.46,31.72,"https://public.flourish.studio/country-flags/svg/ug.svg"
