country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,2319100,2483240,2627180,2943490,2990080,3245490,3562580,4008020,3978100,3481750,3563590,3939330,4174430,4142190,3886540,3653550,3619410,3645390,3573510,3489640,3647450,3632080,3945270,3813230,3944370,4308350,5046900,5112230,4729060,4877430,4596890,5420040,5405580,5344160,5690230,5467420,5818100,5998470,6280740,6707970,7050430,6965370,7312120,7558810,7698880,7300000,7513210,7707000,7895000,8941400,9050710,9809500,9885250,10262040,10456610,11173040,11716980,11882530,12073560,12073550
Asia,14741760,15261280,15661690,16143670,17241320,17937840,19137840,20805430,21286830,22300880,23844970,25192490,26491620,27224150,27441790,28233040,29582300,30006130,29674520,30447050,31947000,32892060,34563040,36591200,37400420,40675790,42892170,44356850,45340588,45863260,46224560,49215760,52944570,57266200,62016690,65632830,66802450,67775890,70468910,71833360,73433300,75301230,78134090,80630090,83621800,87419790,90561600,93435900,96386660,97910376,99238660,103256440,107136520,111873100,114162776,116652210,120357096,122199600,124662290,124662280
Europe,11201160,11729530,12464150,13764950,15577570,16491120,17400780,17621200,17587600,19014290,19077870,19966480,21124150,21745330,22392530,23424610,22462190,21440610,21289950,21898970,22143140,22140610,22418780,23416120,23242700,23708680,23705450,24189170,23510080,21618970,20571230,18990450,17555060,17007260,18447120,18814090,19288590,18611790,17767210,17811700,17537320,16856180,16116150,15524500,15458710,15008770,15164550,14829770,15468270,15963680,15596790,15429970,15680700,16039110,16424990,15999920,17051510,17243000,17013850,17013850
North America,4130710,4270620,4172180,4058370,4243170,4192750,4089940,4398370,4286930,4768650,4862590,4655680,4772250,4612420,4718450,5181010,5338230,6109910,6381840,6812040,7325190,7353150,7293040,7843050,8267520,8549260,9525910,9497830,9399630,9404390,8902780,8581430,8723550,8713710,8422220,8354420,8521730,8041260,8135290,8301450,8787260,8935250,8876910,8968510,8905830,9046200,9093810,8779990,8588600,8634610,9322430,8932000,9017570,8969130,8964700,8878630,9194600,9134230,8931620,8931610
Oceania,128730,135410,139550,135860,146910,167620,175070,183350,164840,185920,208710,211980,227000,245310,211500,230390,257100,279590,322800,367680,398840,427380,475680,495000,483980,542770,604720,658130,672860,754310,847400,926520,886500,893710,1054050,903220,1129610,1190090,1198200,1056440,1039980,1089110,1137520,1267870,1293510,1197050,1208130,1110480,1075040,1289100,1228970,1307410,1253690,1382430,1384920,1477970,1462720,1440700,1572350,1572340
South America,6202720,8204130,8258670,10961500,8928430,10965890,12015900,12817330,11190960,14760680,13132830,6727700,4464800,6675760,5773170,7217680,5666270,7639370,8622940,7786860,8292610,9547840,7696260,10501420,11933830,14137980,12068690,14588610,15888030,14255460,15327400,16469050,17824600,22737570,19866080,20104610,17666030,11193240,17026000,18567070,15775560,16867140,13623290,18669720,17851670,15626550,15260880,15367850,14726780,11036890,15768210,12042100,12326290,10871130,11522100,10302500,11311640,14601780,12338970,12338970
