latitude,longitude,rwi,error
10.5418209,7.8332520,-0.269,0.380
7.5694372,6.5588379,-0.367,0.403
7.5040887,9.5471191,-0.442,0.378
9.8065034,11.1071777,-0.214,0.385
12.8010881,5.9655762,-0.717,0.368
8.8959258,7.2839355,0.008,0.453
9.7415422,7.9870605,-0.207,0.361
9.4165483,8.7561035,-0.081,0.380
8.1136149,2.9772949,-0.510,0.339
11.0382553,13.5021973,-0.304,0.321
4.5326183,7.3278809,-0.374,0.409
11.5338520,10.6896973,-0.389,0.376
8.8959258,8.2287598,-0.709,0.386
11.3184804,11.8762207,-0.507,0.356
10.6929962,9.6350098,-0.141,0.357
13.2078602,7.8991699,-0.599,0.362
12.3507339,5.1965332,-0.739,0.368
10.1311167,6.4050293,-0.437,0.369
12.0715524,3.7243652,-0.112,0.342
7.8524985,9.9426270,-0.230,0.378
11.7490585,9.5690918,-0.474,0.375
9.6549077,6.8444824,-0.670,0.378
6.7409861,8.9099121,-0.560,0.349
12.4794869,10.7995605,-0.546,0.358
12.2648633,10.0305176,-0.549,0.378
11.4046486,9.0417480,-0.566,0.358
7.1772006,11.0412598,0.028,0.355
10.9519780,4.2297363,-0.612,0.356
7.4823037,8.4924316,-0.381,0.359
7.8524985,4.7570801,-0.456,0.396
12.6081759,11.1291504,-0.848,0.355
9.3298312,10.3161621,-0.643,0.366
6.3698938,8.2507324,-0.281,0.358
10.5850215,8.0090332,-0.715,0.392
8.6570568,4.5812988,0.263,0.452
9.3948711,9.2614746,0.103,0.462
8.7873681,3.1091309,-0.447,0.345
10.8872536,4.6252441,-0.357,0.364
12.7153674,11.8322754,-0.434,0.368
11.1245072,9.4372559,-0.469,0.389
11.3400249,4.7790527,-0.399,0.348
11.6629959,11.7883301,-0.701,0.347
4.5326183,6.5368652,-0.090,0.402
5.4957038,7.3718262,0.305,0.496
12.2219175,12.5134277,-0.787,0.336
12.0930384,7.6574707,-0.315,0.378
13.1650736,4.8889160,-0.263,0.374
11.0382553,11.9860840,-0.637,0.350
8.5267005,6.8664551,-0.374,0.392
11.4261866,8.8220215,0.251,0.360
13.5071552,6.0095215,-0.497,0.388
12.4151184,10.2502441,-0.245,0.358
12.6510579,6.2951660,-0.575,0.362
13.2934109,12.6452637,-0.309,0.342
10.2176252,13.4362793,-0.209,0.332
11.2322862,5.5480957,-0.460,0.357
10.9088300,5.2185059,-0.563,0.364
12.1145226,5.3942871,-0.402,0.352
7.1117945,8.8220215,-0.334,0.348
7.5040887,4.5373535,0.867,0.477
9.3298312,6.9763184,-0.934,0.397
12.2004420,10.5139160,-0.567,0.361
7.1117945,6.3391113,-0.319,0.510
12.9724418,8.4484863,-0.361,0.370
7.5040887,4.4714355,0.653,0.509
10.9951198,6.9763184,-0.669,0.373
12.8439375,11.8103027,-0.599,0.469
7.2861900,10.6018066,-0.367,0.338
7.9395558,8.1628418,-0.351,0.357
7.0463790,7.6354980,-0.269,0.411
7.6347758,5.4382324,0.117,0.456
9.0478525,3.0871582,-0.766,0.344
7.4387304,10.2062988,-0.843,0.367
12.2004420,9.0637207,-0.592,0.374
10.3257277,12.2277832,-0.414,0.344
7.8307313,10.2062988,-0.603,0.373
13.3147939,4.9328613,-0.796,0.359
9.1346391,5.6140137,-0.144,0.396
12.0930384,7.2180176,-0.237,0.369
8.0265947,2.7355957,-0.551,0.332
9.2430925,5.5041504,-0.543,0.380
7.3079846,7.9870605,-0.195,0.355
11.7920798,11.0852051,-0.424,0.422
13.5498812,4.8449707,-0.231,0.360
11.3831090,7.3278809,-0.277,0.389
7.4387304,4.1198730,-0.301,0.424
12.2648633,7.2839355,-0.643,0.371
7.3079846,4.9328613,-0.421,0.410
11.3831090,7.9650879,0.110,0.388
7.7654229,3.8562012,-0.663,0.383
8.9827489,6.4270020,-0.458,0.390
11.1460662,11.3269043,-0.486,0.370
11.8135879,12.1618652,-0.569,0.365
12.7368003,4.2956543,-0.360,0.356
9.1129444,12.6892090,-0.197,0.335
9.3731925,8.7121582,-0.512,0.363
10.8440961,11.3049316,-0.561,0.357
8.6353339,3.1091309,-0.096,0.340
7.1117945,3.9221191,-0.506,0.465
8.7004990,3.6145020,-0.511,0.365
8.1788678,5.7897949,-0.687,0.399
10.1527460,10.1403809,-0.504,0.364
9.8498038,8.6022949,-0.689,0.406
9.9363874,8.6242676,-0.686,0.406
13.0366691,12.4914551,-0.071,0.366
7.6347758,4.5153809,0.052,0.435
12.3936586,9.9865723,-0.345,0.389
10.9951198,12.7770996,-0.095,0.339
9.4382242,7.1960449,-0.442,0.397
11.9640971,10.6457520,-0.479,0.386
7.1772006,7.6574707,-0.444,0.418
8.8742168,7.8552246,-0.054,0.481
9.8281543,7.7893066,0.311,0.357
9.3298312,7.7893066,-0.619,0.383
9.4598988,5.3503418,0.021,0.352
7.1990006,10.6237793,-0.149,0.385
6.7409861,3.4606934,0.571,0.485
12.5652867,7.9431152,-0.743,0.383
7.5912178,11.4147949,-0.555,0.366
8.0918616,8.8000488,-0.548,0.358
11.1029466,9.6569824,-0.424,0.367
7.1553996,2.9333496,-0.448,0.372
6.6318701,5.1525879,-0.721,0.433
10.2608706,9.2614746,-0.702,0.367
11.7490585,8.8439941,-0.121,0.419
13.0152618,12.4255371,-0.058,0.344
9.7415422,9.4812012,-0.328,0.360
7.3297783,5.0207520,-0.393,0.406
9.5899171,9.0197754,-0.285,0.389
10.4770087,13.4582520,-0.296,0.328
9.9363874,11.6564941,-0.100,0.364
8.9827489,7.0422363,-0.215,0.513
11.3615678,13.1945801,-0.513,0.335
11.0166883,7.0642090,-0.322,0.373
7.1990006,5.5920410,1.095,0.525
9.7631974,6.2072754,-0.324,0.367
12.7153674,7.3278809,-0.398,0.376
9.6115820,12.4914551,-0.638,0.343
12.0500648,4.4055176,-0.530,0.367
12.8439375,13.8317871,-0.441,0.332
10.0878536,12.6232910,-0.514,0.341
8.9827489,5.5480957,-0.197,0.393
8.8090822,9.3933105,-0.146,0.409
8.6570568,8.8000488,-0.871,0.368
13.1864679,10.3601074,-0.688,0.354
8.8959258,9.3713379,-0.644,0.393
12.7153674,10.9753418,-0.145,0.360
7.2207995,3.1530762,0.113,0.463
5.9766803,5.7678223,0.655,0.571
6.1951683,7.5695801,-0.491,0.399
10.3041101,7.4377441,-0.378,0.460
11.9426009,9.7668457,-0.656,0.379
7.5694372,3.1750488,-0.574,0.341
7.2861900,5.8117676,-0.927,0.410
4.7516240,8.0969238,-0.097,0.393
10.8009324,12.0739746,-0.707,0.335
10.2824911,12.5134277,-0.526,0.378
12.6081759,7.0861816,-0.762,0.376
6.9809543,3.7683105,-0.951,0.389
11.9640971,8.1408691,0.064,0.437
9.7415422,7.8332520,-0.324,0.375
12.7796606,8.5363770,-0.404,0.383
12.7368003,6.4489746,-0.405,0.367
9.5249141,4.8669434,-0.364,0.381
9.0044514,7.8991699,-0.422,0.469
8.2223637,4.4274902,-0.527,0.381
12.6081759,7.3937988,-0.704,0.366
10.3905714,9.2614746,-0.689,0.362
12.3507339,9.0856934,-0.563,0.387
12.6296178,6.5588379,-0.249,0.402
9.2647792,3.7683105,-0.311,0.366
5.4957038,7.2399902,0.695,0.517
9.1346391,12.4694824,-0.701,0.347
7.0245718,4.8669434,-0.602,0.384
7.1990006,4.3615723,-0.570,0.407
5.7362428,8.0310059,-0.157,0.426
7.5476555,9.9426270,-0.430,0.343
7.8742645,5.6799316,-0.361,0.368
7.5694372,3.3947754,-0.488,0.396
5.0581143,5.5700684,-0.089,0.383
7.0681852,9.1955566,-0.884,0.375
4.4888091,7.1081543,-0.124,0.409
12.3721972,6.8005371,0.053,0.367
7.1553996,7.6354980,-0.303,0.375
6.3262180,5.6579590,1.588,0.503
7.7436512,8.0969238,-0.905,0.391
11.9855916,9.7009277,-0.513,0.376
7.9830776,8.9978027,-0.376,0.367
7.1553996,4.6691895,-0.468,0.396
8.8090822,5.1306152,-0.642,0.404
8.6570568,7.8991699,-0.714,0.395
10.6282159,6.0754395,-0.132,0.363
13.0366691,8.4484863,-0.423,0.387
9.7415422,12.5134277,-0.218,0.358
4.4449973,5.9216309,-0.038,0.377
9.4165483,4.2736816,-0.455,0.346
5.2988268,6.4270020,-0.243,0.406
10.6929962,7.3498535,-0.171,0.445
6.6755194,9.7448730,-0.247,0.381
5.9985331,7.7673340,-0.187,0.376
7.4387304,9.1296387,-0.619,0.378
9.1780244,4.7131348,-0.586,0.391
6.7191648,9.0856934,-0.483,0.369
8.8742168,10.3601074,-0.447,0.355
5.6269192,5.7678223,0.480,0.489
9.5465832,7.6135254,-0.223,0.386
12.1574857,8.4484863,-0.362,0.472
10.2608706,10.5139160,-0.371,0.405
7.7218784,9.3493652,-0.145,0.365
8.5701576,7.1301270,-0.446,0.391
13.1650736,12.6452637,-0.604,0.345
4.9048867,5.6579590,0.100,0.416
12.8867796,13.2824707,-0.525,0.335
7.4169421,7.4597168,-0.597,0.416
8.7222181,6.2731934,-0.408,0.388
9.7415422,9.9645996,-0.439,0.383
12.1574857,4.5593262,-0.650,0.380
11.2969342,6.5368652,-0.597,0.357
6.7191648,8.3386230,-0.418,0.367
11.9426009,11.2170410,-0.686,0.363
8.1571180,9.4812012,-0.326,0.347
10.2392486,7.1081543,-0.497,0.363
6.7409861,9.3713379,-0.585,0.342
11.7490585,7.2839355,-0.551,0.379
7.0899903,3.2189941,-0.404,0.411
13.0152618,6.3171387,-0.390,0.365
7.3951528,3.6145020,-0.467,0.408
6.1514779,6.7346191,-0.027,0.491
12.2863336,6.3171387,-1.062,0.380
10.9951198,11.6564941,-0.376,0.343
13.1864679,8.0969238,-0.699,0.359
12.7368003,5.1086426,0.031,0.413
