country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Eastern Africa (FAO),235910,253560,292380,331130,358700,379870,420060,464220,478160,545360,558550,576230,584070,604200,658280,659330,761230,702310,631360,674230,673420,724160,763990,846810,838940,921870,1001910,1068260,1050970,1189780,1050310,1087870,1063050,1034240,1086120,1037220,1078470,1061650,1070390,1114600,1071290,1050060,1144780,1309440,1385590,1347750,1513180,1407520,1490880,1747630,1793370,1848520,1891220,1941260,2031980,2089050,2212750,2279710,2436910,2436910
Middle Africa (FAO),368500,400100,372200,495700,405300,484900,450200,462100,588000,545500,493930,780380,651260,578720,348510,279750,322870,327830,329620,292860,330840,291830,299620,292380,297360,285100,324190,335540,354830,359120,330260,345590,373980,383170,411620,446930,433680,436500,459740,547940,563430,572550,519909.97,560000,528450,545780,621550,607330,581590,948410,1003320,1052290,1114320,1161140,1197920,1232110,1256750,1245760,1199100,1199100
Northern Africa (FAO),320480,341750,348330,390680,375390,465930,404820,364740,380370,395560,382310,424470,563410,484450,437490,496400,487550,510010,549630,607270,676000,678740,774780,803550,872970,1007140,946300,1075330,1039550.06,1093800,1142240,1115940,1208740,1390730,1493690,1287050,1471450,1487780,1639450,1893670,2162420,2056810,2090770,2077379.9,2216900,2167760,2211710,2379860,2565760,2685690,2564560,2829450,3005280,3131650,3179140,3457510,3509550,3631570,3816950,3816950
Southern Africa (FAO),1017000,1068800,1175610,1229710,1327810,1341290,1664500,2114750,1864450,1226300,1186200,1151750,1372580,1438310,1376650,1176630,976380,1023690,1007660,866400,875890,836380,949330,750010,792240,838160,1461920,1337900,901370,802090,708510,1352690,1357520,1177690,1149920,962800,1032209.94,1173220,1172590,1236610,1301620,1395390,1464810,1462800,1374920,1131630,1095570,1021810,895430,1015140,952480,1178100,910530,1048030,1082530,1134680,1032100,1070320,957540,957540
Western Africa (FAO),394510,437630,457650,515570,542080,593500,643000,623710,688930,791250,964780,1028709.94,1025730,1059090,1088190,1066130,1094970,1108150,1083760,1074930,1119820,1130680,1187040,1150290,1169190,1280060,1339820,1324420,1412620,1464370,1398870,1553120,1442520,1402520,1593900,1779400,1850280,1889810,1989050,1969100,2010670,1949160,2152430,2213750,2253620,2165660,2138620,2361040,2435190,2544530,2736980,2901150,2963910,2979990,2965060,3259670,3705840,3655170,3663060,3663060
