Entity,Code,Year,Above $10 a day,$8.30-$10 a day,$4.20-$8.30 a day,$3-$4.20 a day,Below $3 a day
South Korea,KOR,2006,96.01558205231514,1.2355245721711245,1.999515176959584,0.2571766981379112,0.49220150041624094
South Korea,KOR,2008,96.25294069633439,1.5011382801422444,1.5044386769155775,0.26594389268406204,0.4755384539237294
South Korea,KOR,2010,96.25700688572525,0.9967023523698699,1.746317238012458,0.5040732038544047,0.49590032003802226
South Korea,KOR,2012,96.50061518109655,1.251184963652881,1.4993948587736872,0.25184934808174336,0.49695564839513867
South Korea,KOR,2014,97.2506643787,0.7587198842248928,1.4923839322627341,0.2625887102717696,0.23564309454060622
South Korea,KOR,2016,98.00056246066309,0.7497256227541501,0.7635860373865306,0.23883491763918657,0.2472909615570398
South Korea,KOR,2017,98.00071305756686,0.7502991711056239,1.008659880107267,0,0.24032789122024897
South Korea,KOR,2018,98.75069632569557,0.2518810874219076,0.7486548042130651,0,0.24876778266946148
South Korea,KOR,2019,99.00056262144348,0.5063283901052189,0.24651296022951802,0,0.24659602822179014
South Korea,KOR,2020,99.26311977874938,0.23698863960811972,0.2553773190339423,0.24451426260855338,0
South Korea,KOR,2021,99.26094765377479,0.2411727050307961,0.2491155996363885,0,0.24876404155802814
