Rank,Company name,Brand,Location,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 ($mn),Revenue 2021 ($mn),Number of employees 2024,Number of employees 2021,Founding year
84,Hannibal Lease SA,Hannibal Lease,Tunisia,"Fintech, Financial Services & Insurance",99.13,25.81,17.99,9.99,132,131,2001
85,Tesla Solar SA Pty Ltd,Tesla Solar,South Africa,Energy & Utilities,98.13,25.6,4.6,2.76,5,2,2016
86,Ciel Ltd,Ciel,Mauritius,Manufacturing,96.86,25.33,749.54,408.43,"37,600","31,308",1912
87,Talenteum,Breedj,Mauritius,Employment Services,95.91,25.13,9.07,4.63,311,207,2021
88,Spur Corporation Ltd,Spur Corporation,South Africa,Food & Beverages,92.45,24.39,184.28,113.65,"1,130",409,1967
89,AfriGrown Holdings,AfriGrown,South Africa,"Professional, Scientific & Technical Services",91.6,24.2,6.17,3.82,36,48,2008
90,Routed Hosting,Routed,South Africa,IT & Software,88.7,23.57,3.1,1.64,7,4,2016
91,Bonben Assurance Namibia Ltd,Bonlife Namibia,Namibia,"Fintech, Financial Services & Insurance",88.23,23.47,6.73,4.24,53,39,1996
92,Monelics Services Solutions SA,MS Solutions,Tunisia,IT & Software,87.91,23.4,18.41,10.84,96,53,2013
93,Jet Contractors SA,Jet Contractors,Morocco,Construction & Engineering,86.39,23.07,309.94,181.21,"6,000","6,000",1992
94,KCB Group Plc,KCB Group,Kenya,"Fintech, Financial Services & Insurance",85.61,22.89,"1,574.77",967.04,"12,090","8,538",1896
95,Linkfields Innovations Pty Ltd,Linkfields Innovations,South Africa,IT & Software,85,22.76,10.39,6.67,99,21,2008
96,Dialog Group,Dialog,Morocco,Pharmaceuticals & Cosmetics,83.14,22.35,327.47,194.85,"2,500",900,2005
97,Quick Mart Ltd,Quick Mart,Kenya,Retail,81.88,22.07,362.5,227.16,"7,313","4,479",2006
98,Jachris Hose & Couplings Pty Ltd,Jachris,South Africa,Metals & Mining,81.83,22.05,25.82,16.85,385,325,1976
99,Société Tunisienne d'Entreprises de Télécommunications SA,Sotetel,Tunisia,Media & Telecommunications,81.12,21.9,22.25,13.58,272,270,1981
100,Zambia Bata Shoe Company Plc,Bata,Zambia,Manufacturing,80.75,21.81,10.69,9.88,,,1937
101,Cresta Marakanelo Ltd,Cresta,Botswana,Hospitality & Travel,77.81,21.15,27.54,18.48,953,873,1987
102,Vicenne SA,Vicenne,Morocco,Health Care & Life Sciences,75.22,20.56,82.81,51.5,290,,2004
103,Unité de Fabrication des Médicaments SA,Unimed,Tunisia,Pharmaceuticals & Cosmetics,74.74,20.45,46.44,29.39,786,700,1989
104,African Management Initiative,African Management Institute,Mauritius,Education & Social Services,74.28,20.34,7.81,4.48,150,75,2013
105,Mic Global Risks Ltd,Mic Global Risks,Kenya,"Fintech, Financial Services & Insurance",73.85,20.24,6.04,3.96,65,49,1999
106,UVU Africa NPC,UVU Africa,South Africa,Education & Social Services,73.04,20.06,6.6,4.53,69,61,1999
107,Impax Business Solutions Ltd,Impax Business Solutions,Kenya,IT & Software,72.22,19.87,4.02,2.66,118,74,2003
108,Windscreen Distributors Pty Ltd,Windscreen Distributors,South Africa,Automotive,71.07,19.6,23.17,16.08,210,179,2005
109,CloudHop Ltd,Cloudhop,Mauritius,IT & Software,69.04,19.12,2.94,1.74,11,7,2012
110,Unifreight Africa Ltd,Unifreight,Zimbabwe,Logistics & Transportation,64.31,18,24.54,14.94,743,814,1946
111,Land'Or SA,Land'Or,Tunisia,"Agriculture, Forestry & Fishing",62.26,17.51,81.46,55.51,900,700,1994
112,Consumer Profile Bureau Pty Ltd,Consumer Profile Bureau,South Africa,"Fintech, Financial Services & Insurance",61.75,17.39,5.79,4.25,67,61,1981
113,eAdvance Pty Ltd,Spark Schools,South Africa,Education & Social Services,61.45,17.31,31.66,23.27,"1,500","1,100",2012
114,Constance La Gaiete Company Ltd,Constance Group,Mauritius,"Agriculture, Forestry & Fishing",60.82,17.16,9.81,6.54,,,1913
115,The Kenya Power and Lighting Company Plc,Kenya Power,Kenya,Energy & Utilities,60.37,17.05,"1,793.74","1,274.83","10,437","10,177",1922
116,Copperbelt Energy Corporation Plc,Copperbelt Energy,Zambia,Energy & Utilities,59.81,16.92,547.66,342.69,504,341,1953
117,Naivas Ltd,Naivas,Kenya,Retail,57.4,16.32,795.55,576.07,"11,025","7,615",1990
118,CA Sales Holdings Ltd,CA&S Group,South Africa,Retail,55.95,15.97,664.16,505.47,"15,660","10,423",2011
119,Co-operative Bank of Kenya Ltd,Co-operative Bank of Kenya,Kenya,"Fintech, Financial Services & Insurance",55.06,15.74,887.27,652.2,"5,863","4,505",1968
120,The Avenue Group Ltd,Avenue Healthcare,Kenya,Health Care & Life Sciences,53.68,15.4,45.84,33.99,"2,225","1,810",1976
121,Entelelect Software Pty Ltd,Entelelect,South Africa,IT & Software,52.51,15.11,99.51,77.44,"1,310",944,2007
122,Kusasa Cleaning Pty Ltd,Kusasa Cleaning,South Africa,"Professional, Scientific & Technical Services",52.33,15.06,2.31,1.8,321,217,2014
123,Consolidated Wealth Group,Consolidated Wealth Group,South Africa,"Fintech, Financial Services & Insurance",51.21,14.78,2.35,1.84,34,17,2002
124,Araxi Ltd,Araxi,South Africa,"Fintech, Financial Services & Insurance",50.51,14.6,66.35,52.32,757,321,2015
125,Choppies Enterprises Ltd,Choppies,Botswana,Retail,50.45,14.59,656.83,520.73,"11,388","9,746",2004
126,Consilient Ltd,Consilient,Somaliland,"Professional, Scientific & Technical Services",43.6,12.82,4.03,2.81,40,20,2019
127,Pan African Resources Plc,Pan African Resources,South Africa,Metals & Mining,43.48,12.79,540.03,376.37,"7,101","5,118",2000
128,Dar es Salaam Stock Exchange Plc,Dar es Salaam Stock Exchange,Tanzania,"Fintech, Financial Services & Insurance",37.99,11.33,3.25,2.46,32,31,1996
129,Craft Silicon Ltd,Craft Silicon,Kenya,IT & Software,34.14,10.29,25.89,19.3,508,318,2000
130,Roff Industries Pty Ltd,Roff,South Africa,Manufacturing,30.45,9.27,5.58,5.08,52,69,2008
