latitude,longitude,rwi,error
-2.4052990,29.6960449,-0.487,0.310
-2.3174830,30.2673340,-0.400,0.331
-2.3833455,29.8498535,-0.086,0.331
-1.9661667,30.3332520,-0.022,0.409
-2.3174830,30.0036621,0.119,0.311
-2.1637921,29.9597168,-0.314,0.331
-1.6147764,29.5642090,-0.194,0.307
-1.7026302,29.6740723,-0.059,0.397
-1.8563646,30.6188965,-0.585,0.299
-1.4170918,30.3771973,-0.400,0.338
-1.8124418,29.3005371,0.312,0.322
-2.5589632,29.0808105,-0.254,0.306
-2.5150610,29.8278809,-0.044,0.311
-2.3394375,29.7180176,0.236,0.292
-1.9222467,30.3552246,0.175,0.389
-2.3394375,29.0148926,0.258,0.342
-1.8563646,29.6301270,1.084,0.468
-1.5488836,29.7619629,-0.013,0.329
-1.4170918,30.4870605,-0.311,0.312
-2.2077054,30.2673340,-0.221,0.332
-2.4492049,29.4543457,-0.397,0.337
-2.3833455,29.4543457,-0.101,0.294
-1.8563646,30.3112793,-0.002,0.339
-2.3174830,29.1906738,-0.321,0.336
-2.3394375,29.7399902,0.840,0.414
-1.3292264,30.1794434,0.005,0.311
-1.8783255,29.5202637,-0.195,0.373
-1.4829887,30.3552246,-0.510,0.329
-2.4272521,30.1354980,0.159,0.328
-2.8223442,29.5422363,-0.586,0.294
-1.5928123,30.2893066,0.515,0.440
-1.4829887,30.2453613,0.051,0.315
-2.6906608,29.4763184,-0.128,0.319
-1.8783255,30.2453613,-0.188,0.331
-2.2735730,30.2014160,0.258,0.361
-1.9881263,29.8937988,0.371,0.380
-1.6587038,29.3444824,-0.317,0.407
-2.4052990,28.8830566,-0.347,0.359
-2.4711573,29.6081543,0.567,0.364
-2.0540032,29.8059082,0.766,0.386
-1.8124418,29.9157715,0.035,0.395
-1.7685179,29.3225098,0.058,0.415
-2.7126091,29.7399902,-0.355,0.351
-1.7245930,30.0256348,0.020,0.315
-1.7026302,30.0695801,-0.296,0.400
-1.3072596,30.3332520,0.648,0.453
-2.6467632,29.5861816,0.224,0.379
-1.5488836,29.7399902,0.221,0.360
-1.2633253,30.4431152,-0.474,0.305
-1.2413579,30.4211426,0.121,0.358
-2.1857489,29.7180176,-0.198,0.319
-1.6367402,29.9157715,-0.172,0.333
-1.9002862,29.5422363,-0.258,0.335
-1.7685179,29.6960449,-0.322,0.323
-1.8124418,29.8278809,-0.162,0.311
-1.6147764,29.5202637,0.202,0.413
-2.4711573,29.0148926,-0.325,0.399
-1.1534865,30.3552246,-0.271,0.302
-1.7685179,30.2233887,-0.120,0.351
-1.5049538,29.9157715,0.202,0.331
-2.6906608,29.6520996,-0.029,0.308
-1.9442068,29.4104004,0.036,0.389
-1.5708481,30.3552246,0.132,0.300
-1.7904800,29.2785645,-0.059,0.322
-1.6587038,30.2893066,-0.047,0.312
-1.7245930,30.1135254,0.029,0.359
-1.9661667,29.5642090,-0.174,0.345
-1.4829887,29.7619629,0.034,0.315
-2.4492049,28.9929199,0.059,0.393
-1.3072596,30.2893066,-0.562,0.310
-1.7026302,29.4982910,0.217,0.355
-1.8783255,30.1354980,0.598,0.434
-2.3613917,29.1906738,-0.158,0.307
-2.3613917,29.8498535,-0.361,0.342
-1.7026302,30.5969238,-0.215,0.295
-2.2516175,30.3771973,0.498,0.316
-2.3174830,30.2233887,-0.219,0.290
-2.5150610,29.8718262,-0.276,0.338
-1.9881263,30.5529785,0.072,0.403
-1.8783255,30.5310059,-0.120,0.324
-2.3613917,29.7619629,0.664,0.489
-2.2077054,29.3005371,-0.202,0.304
-1.7026302,29.5202637,0.282,0.352
-1.7685179,30.1794434,-0.137,0.458
-2.0320445,30.5090332,-0.242,0.305
-1.6587038,30.3771973,-0.351,0.337
-2.6028640,29.7619629,0.163,0.401
-2.3613917,30.7946777,-0.028,0.302
-1.9222467,29.7399902,-0.260,0.355
-2.4272521,29.8718262,-0.137,0.310
-2.2516175,30.0476074,-0.125,0.332
-1.4829887,30.4870605,-0.291,0.301
-1.4829887,30.2233887,-0.441,0.309
-1.3292264,29.8498535,-0.536,0.293
-1.9002862,29.7619629,-0.255,0.396
-1.8124418,30.2453613,-0.005,0.301
-2.3174830,30.6628418,-0.378,0.302
-2.2955282,30.6848145,0.047,0.357
-1.9661667,30.7727051,-0.187,0.317
-1.9002862,29.6081543,-0.538,0.300
-2.1857489,29.6081543,-0.002,0.319
-2.1198775,30.7067871,-0.154,0.311
-1.5488836,29.7839355,-0.271,0.308
-1.9002862,30.2453613,-0.368,0.356
-2.4052990,29.4323730,-0.300,0.310
-1.8344033,30.1354980,-0.307,0.395
-1.8563646,29.4323730,-0.253,0.299
-2.1198775,30.4431152,-0.153,0.308
-2.6028640,29.8718262,0.170,0.368
-1.5928123,30.0915527,0.059,0.372
-2.0979197,30.0476074,0.173,0.368
-1.8124418,30.0915527,0.833,0.361
-2.4052990,29.3884277,0.306,0.326
-2.3613917,29.8059082,-0.138,0.302
-1.9442068,29.3884277,-0.243,0.399
-1.6587038,30.1574707,0.318,0.359
-1.6587038,29.4982910,-0.190,0.408
-1.9661667,30.6628418,0.651,0.346
-2.5370123,29.8059082,-0.134,0.326
-1.6587038,29.3005371,0.383,0.377
-1.0436434,30.4650879,0.030,0.298
-2.6687122,29.5422363,-0.004,0.324
-1.8563646,29.6081543,-0.168,0.339
-2.2077054,29.2346191,-0.132,0.370
-1.8783255,29.4104004,-0.235,0.301
-2.1637921,29.4543457,-0.046,0.336
-1.7026302,30.0256348,0.259,0.408
-1.4829887,29.5861816,0.369,0.356
-2.4492049,29.0808105,0.162,0.367
-1.9002862,29.5642090,-0.067,0.298
-2.2516175,29.2565918,-0.546,0.296
-1.8124418,30.5749512,0.401,0.309
-2.1198775,30.0695801,0.519,0.430
-1.9661667,30.2893066,-0.589,0.350
-2.4931093,29.7839355,-0.103,0.367
-1.6587038,30.5310059,-0.207,0.299
-1.7685179,30.0915527,-0.268,0.343
-2.3613917,30.6188965,-0.014,0.296
-2.1637921,29.2346191,0.196,0.313
-1.6806671,29.5861816,-0.053,0.367
-2.3833455,29.9157715,-0.614,0.308
-2.4492049,29.0588379,0.151,0.359
-2.0979197,29.6960449,-0.020,0.339
-2.2296616,29.4763184,-0.087,0.326
-2.0759616,29.4104004,0.240,0.393
-1.7685179,30.4211426,-0.356,0.306
-2.5150610,29.6740723,-0.140,0.367
-2.4052990,29.9597168,-0.062,0.293
-1.3072596,30.2233887,-0.825,0.294
-2.3613917,29.9157715,-0.187,0.306
-1.8783255,29.4982910,-0.506,0.295
-1.4170918,30.5310059,-0.200,0.308
-2.0320445,30.2233887,-0.266,0.364
-2.5150610,29.8498535,-0.299,0.332
-1.5488836,29.7180176,-0.394,0.336
-2.1857489,30.6628418,-0.531,0.293
-2.0100856,30.2014160,-0.251,0.423
-2.1198775,29.4982910,0.069,0.308
-2.1857489,29.5861816,0.472,0.431
-2.0979197,30.6408691,-0.544,0.295
-2.1198775,29.3444824,-0.282,0.400
-2.4272521,29.4763184,-0.004,0.329
-2.7126091,29.5642090,0.188,0.384
-1.4610233,29.7619629,-0.340,0.364
-1.4610233,29.6301270,0.359,0.383
-2.0320445,29.8278809,-0.367,0.371
-2.2296616,29.4543457,-0.201,0.301
-2.4931093,29.4104004,-0.714,0.291
-2.2296616,30.6188965,-0.295,0.319
-1.7465556,30.2673340,-0.373,0.383
-1.5708481,29.7619629,0.116,0.334
-1.7685179,30.0476074,-0.171,0.370
-2.8003980,29.6740723,0.074,0.402
-2.2516175,29.6520996,-0.004,0.299
-2.1637921,30.5310059,0.541,0.465
-1.5928123,29.8498535,-0.107,0.313
-2.6906608,29.4543457,0.329,0.371
-2.0540032,29.7180176,0.105,0.355
-2.6467632,29.0148926,0.016,0.409
-2.5589632,29.4323730,0.062,0.323
-1.4610233,30.5529785,-0.451,0.319
-2.2735730,30.7507324,0.143,0.360
-2.4931093,29.6081543,0.122,0.357
-1.9442068,30.0695801,1.176,0.434
-2.3613917,29.4104004,-0.015,0.320
-1.6587038,29.2785645,0.555,0.412
-2.3174830,30.8386230,0.734,0.417
-1.6367402,29.8937988,0.501,0.404
-1.9661667,30.0256348,0.716,0.423
-2.6248138,28.9929199,-0.077,0.326
-1.4829887,29.5642090,-0.237,0.314
-1.8783255,30.5969238,-0.362,0.313
-1.6806671,30.4870605,-0.144,0.300
-2.0759616,30.2014160,0.123,0.327
-1.5269188,29.9377441,-0.045,0.326
-1.4390576,29.5422363,0.071,0.397
-2.3394375,30.7067871,-0.283,0.291
